img_fname,CB-0-0.x,CB-0-0.y,CB-0-1.x,CB-0-1.y,CB-0-2.x,CB-0-2.y,CB-0-3.x,CB-0-3.y,CB-0-4.x,CB-0-4.y,CB-0-5.x,CB-0-5.y,CB-0-6.x,CB-0-6.y,CB-0-7.x,CB-0-7.y,CB-0-8.x,CB-0-8.y,CB-1-0.x,CB-1-0.y,CB-1-1.x,CB-1-1.y,CB-1-2.x,CB-1-2.y,CB-1-3.x,CB-1-3.y,CB-1-4.x,CB-1-4.y,CB-1-5.x,CB-1-5.y,CB-1-6.x,CB-1-6.y,CB-1-7.x,CB-1-7.y,CB-1-8.x,CB-1-8.y,CB-2-0.x,CB-2-0.y,CB-2-1.x,CB-2-1.y,CB-2-2.x,CB-2-2.y,CB-2-3.x,CB-2-3.y,CB-2-4.x,CB-2-4.y,CB-2-5.x,CB-2-5.y,CB-2-6.x,CB-2-6.y,CB-2-7.x,CB-2-7.y,CB-2-8.x,CB-2-8.y,CB-3-0.x,CB-3-0.y,CB-3-1.x,CB-3-1.y,CB-3-2.x,CB-3-2.y,CB-3-3.x,CB-3-3.y,CB-3-4.x,CB-3-4.y,CB-3-5.x,CB-3-5.y,CB-3-6.x,CB-3-6.y,CB-3-7.x,CB-3-7.y,CB-3-8.x,CB-3-8.y,CB-4-0.x,CB-4-0.y,CB-4-1.x,CB-4-1.y,CB-4-2.x,CB-4-2.y,CB-4-3.x,CB-4-3.y,CB-4-4.x,CB-4-4.y,CB-4-5.x,CB-4-5.y,CB-4-6.x,CB-4-6.y,CB-4-7.x,CB-4-7.y,CB-4-8.x,CB-4-8.y,CB-5-0.x,CB-5-0.y,CB-5-1.x,CB-5-1.y,CB-5-2.x,CB-5-2.y,CB-5-3.x,CB-5-3.y,CB-5-4.x,CB-5-4.y,CB-5-5.x,CB-5-5.y,CB-5-6.x,CB-5-6.y,CB-5-7.x,CB-5-7.y,CB-5-8.x,CB-5-8.y
image_000.png,298.508,255.618,343.870,258.419,388.482,261.567,431.984,265.171,474.308,269.001,515.185,273.090,554.555,277.350,592.251,281.626,628.499,286.106,295.810,302.492,341.739,304.658,386.675,307.345,430.602,310.138,473.253,313.197,514.524,316.479,554.246,319.938,592.243,323.435,628.498,327.002,293.691,350.590,339.997,352.105,385.403,353.893,429.521,356.059,472.555,358.370,513.730,360.642,553.847,363.371,591.733,365.856,628.505,368.598,292.283,399.485,338.675,400.401,384.463,401.424,428.868,402.599,471.725,404.131,513.509,405.621,553.497,407.364,591.759,409.063,628.501,410.734,291.255,449.241,337.707,449.222,383.657,449.508,428.171,449.649,471.494,450.551,513.228,451.216,553.218,451.765,591.758,452.534,628.504,453.418,290.556,498.883,337.497,498.435,383.477,497.760,427.718,497.540,471.253,497.210,512.716,496.830,553.241,496.500,591.831,496.207,628.500,496.241
image_001.png,248.708,18.745,301.910,15.094,355.995,13.029,410.633,12.427,465.254,13.593,519.340,16.197,572.471,19.853,624.372,24.751,674.655,30.625,247.248,71.472,299.967,68.365,353.585,66.471,407.681,66.249,461.639,67.069,515.212,69.253,567.723,72.420,619.139,76.547,668.825,81.545,246.746,124.630,299.301,121.814,352.179,120.432,405.536,119.716,458.712,120.617,511.478,122.395,563.353,124.981,613.859,128.351,663.051,132.436,247.531,177.607,299.237,175.282,351.504,173.743,403.909,173.231,456.366,173.712,508.203,174.977,559.154,176.810,608.834,179.569,657.319,182.765,249.281,229.715,300.010,227.566,351.486,226.219,402.852,225.432,454.369,225.769,505.228,226.479,555.194,227.767,603.984,229.702,651.525,232.179,251.676,280.629,301.561,278.595,351.850,277.280,402.500,276.500,452.646,276.245,502.526,276.446,551.466,277.376,599.350,278.563,645.899,280.217
image_002.png,494.627,558.881,576.224,541.526,653.427,525.013,725.448,509.615,792.484,495.339,854.048,482.233,910.224,470.227,961.241,459.327,1007.288,449.494,504.165,637.531,582.349,618.845,656.503,600.804,726.123,583.611,791.189,567.297,850.966,551.882,905.827,537.634,955.966,524.451,1001.455,512.284,513.277,709.588,588.089,690.175,659.392,670.914,726.513,652.340,789.332,634.403,847.382,617.407,901.012,601.293,950.084,586.124,994.764,571.947,521.835,775.296,593.393,755.289,661.683,735.343,726.373,715.702,786.793,696.681,843.369,678.324,895.507,660.748,943.606,644.142,987.633,628.357,529.933,834.729,598.341,814.532,663.680,794.246,725.757,774.019,784.392,754.173,839.017,734.824,889.742,716.283,936.713,698.419,980.076,681.446,537.564,888.478,602.776,868.319,665.485,847.743,725.279,827.293,781.516,806.953,834.420,787.098,883.753,767.726,929.677,748.971,972.209,731.046
image_003.png,180.841,527.361,230.358,523.394,277.499,519.718,321.730,516.433,364.314,513.336,403.475,510.489,440.725,507.820,475.503,505.449,508.174,503.215,182.203,583.364,231.120,577.643,277.826,572.362,322.235,567.274,363.769,562.428,403.253,557.947,440.230,553.624,474.830,549.674,507.214,545.950,184.256,638.443,232.572,631.153,278.768,624.080,322.660,617.347,364.243,610.855,403.233,604.753,439.760,599.034,474.136,593.559,506.520,588.431,187.188,692.237,234.780,683.386,280.419,674.731,323.628,666.473,364.728,658.471,403.497,650.821,439.746,643.596,473.749,636.738,505.694,630.304,190.824,744.420,237.641,734.256,282.546,724.232,325.327,714.453,365.619,705.075,403.664,696.122,439.773,687.407,473.486,679.240,505.536,671.356,195.295,794.794,241.186,783.343,285.228,772.105,327.219,761.062,367.033,750.341,404.529,740.108,440.262,730.161,473.486,720.665,504.986,711.641
image_004.png,136.157,46.563,207.223,50.933,271.622,57.719,329.540,65.836,381.196,74.553,426.984,83.335,467.744,91.755,504.056,99.911,536.437,107.636,126.592,135.328,198.997,135.261,264.525,137.288,323.171,140.756,375.193,145.126,421.366,149.722,462.330,154.507,498.691,159.174,531.355,163.658,121.410,227.171,194.262,221.610,259.726,218.557,318.418,217.287,370.361,216.755,416.507,217.066,457.475,217.688,493.825,218.746,526.375,220.076,120.372,319.481,192.569,308.355,257.361,299.748,315.377,293.236,366.760,288.062,412.510,284.012,453.219,280.769,489.447,278.295,521.789,276.244,122.692,409.710,193.216,393.264,256.783,379.396,313.437,367.817,364.265,358.187,409.302,349.871,449.449,342.835,485.376,336.841,517.504,331.598,128.028,496.316,196.012,474.736,257.623,456.260,313.251,440.063,362.507,426.230,406.653,414.082,446.323,403.434,481.646,394.186,513.519,385.913
image_005.png,300.118,235.096,341.309,227.383,386.215,219.591,435.055,211.757,488.188,204.187,545.532,196.701,607.277,189.765,673.238,183.589,743.236,178.337,297.618,291.781,338.957,286.335,383.903,280.662,433.154,275.282,486.472,269.873,544.212,264.773,606.532,260.178,672.754,255.957,743.503,252.683,296.092,349.644,337.459,346.457,382.510,343.304,431.687,340.292,485.225,337.354,543.269,334.664,605.513,332.464,672.406,330.703,743.446,329.533,295.235,408.349,336.507,407.390,381.590,406.459,430.759,406.006,484.224,405.562,542.241,405.500,604.446,405.675,671.465,406.632,742.536,407.877,295.234,467.007,336.504,468.434,381.503,470.151,430.504,472.029,483.766,474.251,541.538,476.743,603.453,479.580,670.232,482.860,740.812,486.582,295.746,525.509,336.821,529.280,381.754,533.331,430.461,537.634,483.488,542.349,540.747,547.354,602.489,552.696,668.564,558.454,738.639,564.438
image_006.png,349.238,241.301,409.662,235.391,470.614,230.502,531.531,226.535,591.691,223.479,650.618,221.377,708.116,220.185,763.531,219.758,816.646,220.267,356.539,298.754,415.276,293.278,474.315,288.382,533.085,284.297,591.265,280.736,648.498,278.203,704.175,276.011,758.063,274.667,809.812,273.810,364.036,353.224,420.784,347.904,477.805,343.092,534.593,338.764,590.773,334.987,646.284,331.744,700.204,329.207,752.497,326.887,802.871,325.390,371.565,404.442,426.418,399.314,481.496,394.501,536.394,390.130,590.696,386.145,644.185,382.435,696.334,379.251,746.990,376.358,796.012,373.792,378.996,452.358,431.928,447.365,485.089,442.630,538.009,438.180,590.505,433.868,642.009,429.847,692.502,426.223,741.609,422.751,789.232,419.660,386.238,497.072,437.371,492.301,488.565,487.579,539.573,482.985,590.235,478.617,640.010,474.354,688.780,470.351,736.403,466.462,782.537,462.784
image_007.png,435.488,182.061,484.038,176.430,531.065,171.647,576.474,167.673,620.453,164.473,662.222,161.874,702.420,159.872,740.486,158.543,776.636,157.550,439.027,232.162,486.569,225.747,532.655,220.363,577.477,215.467,620.505,211.311,661.470,207.671,701.016,204.714,738.539,202.340,774.371,200.305,442.669,280.888,489.337,273.989,534.443,267.664,578.236,262.127,620.515,257.027,660.743,252.536,699.574,248.577,736.562,245.118,771.800,242.117,446.567,328.124,491.978,320.589,536.246,313.641,579.019,307.349,620.245,301.472,659.952,296.189,698.069,291.349,734.435,286.885,769.221,282.984,450.446,373.499,494.768,365.510,537.984,357.991,579.734,350.929,620.255,344.418,659.169,338.348,696.472,332.649,732.244,327.525,766.377,322.690,454.408,417.060,497.607,408.603,539.740,400.550,580.529,392.966,620.234,385.732,658.226,379.016,694.735,372.675,729.849,366.728,763.476,361.261
image_008.png,474.501,343.716,519.502,342.509,565.498,341.498,611.696,340.874,658.785,340.542,705.456,340.210,752.194,340.477,798.476,341.274,844.283,342.064,474.498,391.447,519.500,390.503,565.463,389.865,612.218,389.191,659.322,389.158,706.025,388.695,752.759,389.241,799.241,389.611,844.996,390.471,474.508,439.556,519.748,438.701,565.759,438.500,612.500,438.241,659.233,438.241,706.241,438.241,753.241,438.241,799.507,438.442,845.554,439.303,474.759,487.500,520.249,487.544,566.241,487.241,612.500,487.241,659.500,487.241,706.500,487.241,753.241,487.500,799.502,487.525,845.431,487.818,475.475,535.498,520.500,535.759,566.536,535.752,612.748,536.299,659.500,536.241,706.255,536.299,752.691,536.490,799.224,536.499,844.684,536.741,476.277,583.264,521.189,583.788,566.824,584.217,612.759,584.500,659.500,584.759,706.149,585.250,752.530,585.245,798.463,585.233,844.166,585.251
image_009.png,412.591,662.689,465.766,653.858,516.795,645.306,565.763,636.747,612.139,628.578,656.402,620.636,697.961,613.054,737.341,605.690,774.366,598.708,415.940,715.678,467.903,706.039,518.051,696.405,565.757,686.926,611.458,677.614,655.052,668.597,696.107,659.808,734.829,651.449,771.493,643.357,419.455,766.284,470.256,755.744,519.308,745.333,566.227,734.908,610.847,724.716,653.615,714.714,694.114,704.984,732.363,695.549,768.487,686.458,423.070,814.261,472.641,803.137,520.467,791.929,566.493,780.792,610.406,769.755,652.317,758.989,691.985,748.394,729.643,738.110,765.385,728.120,426.720,859.540,475.102,847.914,521.719,836.287,566.818,824.442,609.732,812.786,650.717,801.329,689.856,789.919,726.973,778.820,762.216,768.067,430.632,902.262,477.650,890.311,523.273,878.146,567.242,865.788,609.306,853.620,649.411,841.547,687.647,829.624,724.258,817.862,758.934,806.421
image_010.png,155.457,438.157,234.483,448.553,306.632,458.408,371.802,467.422,430.402,475.624,482.498,483.131,529.274,489.743,570.692,495.750,607.961,501.322,149.703,533.294,230.579,538.395,304.501,542.990,370.763,547.076,430.257,550.635,482.927,553.687,530.257,556.508,572.184,558.933,609.620,560.995,146.967,631.267,228.818,630.745,303.492,629.699,370.766,628.579,430.447,627.381,483.708,625.871,531.390,624.447,573.563,623.079,611.417,621.690,147.516,730.434,229.482,724.219,304.479,717.580,371.615,711.022,431.719,704.640,485.274,698.645,532.727,693.048,575.315,687.786,613.119,682.959,151.355,828.365,232.475,816.677,306.701,804.751,373.619,793.102,433.634,781.810,487.054,771.395,534.503,761.576,576.865,752.562,614.674,744.303,158.470,922.948,237.791,906.626,310.802,889.945,376.805,873.566,436.250,857.844,489.233,843.158,536.421,829.432,578.623,816.692,616.389,805.108
image_011.png,171.695,244.867,219.905,243.654,269.152,243.236,318.911,243.518,368.815,244.579,418.486,246.378,467.755,248.553,516.248,251.356,563.498,254.493,163.675,288.809,213.349,287.655,263.973,287.249,315.326,287.508,366.752,288.366,418.051,289.599,468.598,291.572,518.401,293.940,567.009,296.616,155.951,335.882,207.007,334.797,259.189,334.237,312.032,334.249,365.003,334.720,417.842,335.971,469.643,337.450,520.753,339.384,570.629,341.523,148.622,385.957,201.053,384.745,254.647,384.345,308.971,384.230,363.500,384.500,417.671,385.291,471.196,386.206,523.546,387.430,574.584,388.974,141.911,439.293,195.637,438.239,250.678,437.494,306.491,437.241,362.497,437.245,418.000,437.241,472.747,437.471,526.530,438.192,578.676,439.165,135.892,495.390,190.837,494.441,247.346,493.438,304.416,492.690,361.759,492.500,418.707,492.226,474.768,491.757,529.686,491.764,583.129,491.501
image_012.png,162.210,543.176,206.762,525.578,255.435,506.856,308.032,487.204,364.616,466.395,425.169,444.669,489.207,422.290,556.328,399.285,626.068,376.074,154.298,600.818,199.926,584.650,250.033,567.215,304.537,548.460,363.549,528.537,426.592,507.451,493.984,485.316,564.721,462.414,638.447,438.806,146.967,662.799,193.660,648.438,245.173,632.627,301.537,615.437,362.732,596.720,428.971,576.637,499.649,555.287,574.312,532.602,652.307,509.131,140.634,728.961,188.346,716.861,241.195,703.314,299.403,688.110,363.304,671.200,432.201,652.613,506.366,632.388,584.923,610.558,667.360,587.340,135.620,798.896,184.194,789.634,238.375,778.842,298.248,766.382,364.350,751.887,436.368,735.470,514.061,716.912,596.812,696.354,683.653,673.817,132.402,872.131,181.628,866.334,236.676,858.865,298.482,849.656,366.845,838.380,441.758,824.661,523.104,808.494,609.838,789.672,701.296,768.307
image_013.png,444.643,362.447,492.267,356.622,537.689,351.401,581.237,346.647,622.502,342.478,661.755,338.671,698.851,335.344,734.014,332.358,767.246,329.597,447.350,413.596,494.091,406.705,538.753,400.465,581.435,394.623,622.381,389.266,661.081,384.320,697.590,379.693,732.464,375.561,765.284,371.678,450.300,463.357,496.031,455.514,540.014,448.243,582.212,441.264,622.239,434.766,660.239,428.748,696.439,423.184,730.694,417.895,763.244,413.060,453.273,511.379,498.153,502.616,541.312,494.385,582.495,486.513,621.755,479.134,659.518,472.082,695.103,465.434,728.838,459.259,761.036,453.362,456.323,557.509,500.275,548.086,542.443,538.938,582.755,530.352,621.499,521.919,658.531,514.040,693.602,506.494,727.085,499.362,758.632,492.539,459.462,601.755,502.391,591.631,543.596,581.812,583.556,572.345,621.545,563.260,657.557,554.536,692.272,546.228,725.090,538.264,756.316,530.594
image_014.png,387.235,637.179,424.606,649.305,460.533,660.734,494.878,671.585,527.399,681.642,558.381,691.201,587.827,700.103,615.811,708.440,642.484,716.313,383.838,678.897,422.470,690.400,459.384,701.111,494.490,711.072,528.075,720.404,559.745,729.037,590.012,737.159,618.565,744.639,645.673,751.669,380.570,722.953,420.474,733.589,458.452,743.424,494.489,752.437,528.793,760.782,561.434,768.557,592.282,775.670,621.367,782.326,648.955,788.399,377.490,769.303,418.513,778.834,457.469,787.593,494.475,795.614,529.698,802.952,563.157,809.645,594.540,815.719,624.254,821.341,652.351,826.383,374.640,817.670,416.680,826.223,456.680,833.727,494.739,840.616,530.860,846.731,564.744,852.305,597.027,857.272,627.272,861.620,655.721,865.585,372.012,868.180,415.375,875.405,456.508,881.682,495.430,887.333,532.176,892.170,566.757,896.360,599.514,899.990,630.336,903.219,659.339,905.957
