img_fname,x,y,z,qx,qy,qz,qw
image_000.png,-1.380256885,-2.455684878,+1.435007294,-0.693279940,+0.160143682,-0.159492983,+0.684309078
image_001.png,-0.235962054,-2.001198487,+2.588285539,+0.868615894,-0.069660671,+0.093410682,-0.481589311
image_002.png,-1.380731032,-0.166961202,+3.617509853,+0.816742188,-0.176880080,+0.064796154,-0.545387104
image_003.png,-2.231409485,-1.818429808,+3.116805662,+0.685987535,-0.284711147,+0.275512996,-0.610289483
image_004.png,-2.174664027,-0.146063906,+2.227479369,+0.718765818,-0.388780585,+0.325937273,-0.475384319
image_005.png,+1.679438384,-0.676467988,+1.834055548,-0.722187675,-0.158904535,+0.135950741,+0.659326708
image_006.png,-0.486597150,-1.264077241,+3.748824514,+0.900553726,-0.069604336,+0.037682371,-0.427478961
image_007.png,-1.810711249,-2.093131986,+3.317050519,+0.856293987,-0.175373304,+0.090819069,-0.477238629
image_008.png,-0.002040084,-2.400007704,+2.083078247,+0.728084990,+0.024677157,-0.026267830,-0.684538740
image_009.png,-1.744667636,-1.411241670,+4.095379375,+0.769865178,-0.184000269,+0.141338787,-0.594537515
image_010.png,-1.825544519,-0.219394174,+2.141990393,+0.588860225,-0.292878890,+0.316275341,-0.683692547
image_011.png,+0.023240827,-1.470681349,+0.175798971,-0.563864062,+0.115275302,-0.078403444,+0.814015862
image_012.png,+1.343802398,-0.118745888,+0.881812160,-0.478831221,-0.011818887,+0.182057556,+0.858740951
image_013.png,-2.165518278,-1.850464283,+3.427453332,+0.802303177,-0.203556354,+0.133073757,-0.545129156
image_014.png,-2.883174025,-1.866158626,+0.381660763,-0.402885613,+0.177803012,-0.302088494,+0.845465442
image_015.png,+1.678149293,-1.920646204,+3.472113855,+0.775667677,+0.214276309,-0.190575768,-0.562233221
image_016.png,-0.050871352,-0.175957476,+4.112645824,+0.832136400,-0.021218878,+0.023741348,-0.553656139
image_017.png,+0.639376527,-1.319346857,+4.887467887,+0.845854271,+0.128202460,-0.127155532,-0.501922457
image_018.png,-1.422600009,-2.859742000,+0.527416323,-0.620949896,+0.059834441,-0.088051065,+0.776587456
image_019.png,+2.546099083,-0.174313682,+2.459111343,+0.639802747,+0.389837026,-0.363147069,-0.553898678
