img_fname,x,y,z,qx,qy,qz,qw
image_000.png,-1.3326619,-2.3874216,1.479382,-0.698373673,+0.142295255,-0.141328597,+0.687060769
image_001.png,-0.22782543,-1.9653986,2.584607,+0.851325008,-0.059015056,+0.072504567,-0.516242232
image_002.png,-1.3331196,-0.26217827,3.570947,+0.827255089,-0.170788015,+0.067416109,-0.530976026
image_003.png,-2.1544642,-1.7956848,3.0911055,+0.716138015,-0.255671076,+0.239413492,-0.603705080
image_004.png,-2.0996757,-0.24277362,2.2388344,+0.733258303,-0.345148944,+0.287071412,-0.510680401
image_005.png,1.6215267,-0.7352917,1.8618032,-0.727046822,-0.155511776,+0.132561102,+0.655474302
image_006.png,-0.46981794,-1.2809289,3.6967902,+0.890175025,-0.063351212,+0.035317261,-0.449808558
image_007.png,-1.7482729,-2.0507655,3.2830067,+0.845079504,-0.165401153,+0.093016235,-0.499831042
image_008.png,-0.0019697363,-2.3357215,2.10045,+0.735418791,+0.018265425,-0.019866249,-0.677075260
image_009.png,-1.6845067,-1.4175816,4.0289054,+0.790703266,-0.177380813,+0.127605526,-0.571875180
image_010.png,-1.7625947,-0.31086603,2.1569076,+0.637621795,-0.264787761,+0.272610316,-0.670081715
image_011.png,0.02243942,-1.4727756,0.27264068,-0.580023804,+0.085151809,-0.059897366,+0.807919465
image_012.png,1.2974644,-0.2174069,0.94923663,-0.527153818,-0.044950671,+0.159188574,+0.833515019
image_013.png,-2.0908453,-1.8254311,3.3888094,+0.803745763,-0.194657680,+0.128659913,-0.547309567
image_014.png,-2.7837543,-1.8400044,0.4699249,-0.462160418,+0.177899541,-0.278197566,+0.823022245
image_015.png,1.620282,-1.8906001,3.4316092,+0.787632756,+0.193736206,-0.165701449,-0.560931327
image_016.png,-0.049117167,-0.27053195,4.045452,+0.848268220,-0.016929120,+0.018624100,-0.528968407
image_017.png,0.61732906,-1.3322506,4.78799,+0.859334437,+0.110550671,-0.103402574,-0.488498497
image_018.png,-1.3735448,-2.7626176,0.60960734,-0.629690960,+0.065136417,-0.088300028,+0.769057636
image_019.png,2.4583025,-0.26900557,2.460815,+0.674138032,+0.353289327,-0.319261114,-0.564621029
