img_fname,CB-0-0.x,CB-0-0.y,CB-0-1.x,CB-0-1.y,CB-0-2.x,CB-0-2.y,CB-0-3.x,CB-0-3.y,CB-0-4.x,CB-0-4.y,CB-0-5.x,CB-0-5.y,CB-0-6.x,CB-0-6.y,CB-0-7.x,CB-0-7.y,CB-0-8.x,CB-0-8.y,CB-1-0.x,CB-1-0.y,CB-1-1.x,CB-1-1.y,CB-1-2.x,CB-1-2.y,CB-1-3.x,CB-1-3.y,CB-1-4.x,CB-1-4.y,CB-1-5.x,CB-1-5.y,CB-1-6.x,CB-1-6.y,CB-1-7.x,CB-1-7.y,CB-1-8.x,CB-1-8.y,CB-2-0.x,CB-2-0.y,CB-2-1.x,CB-2-1.y,CB-2-2.x,CB-2-2.y,CB-2-3.x,CB-2-3.y,CB-2-4.x,CB-2-4.y,CB-2-5.x,CB-2-5.y,CB-2-6.x,CB-2-6.y,CB-2-7.x,CB-2-7.y,CB-2-8.x,CB-2-8.y,CB-3-0.x,CB-3-0.y,CB-3-1.x,CB-3-1.y,CB-3-2.x,CB-3-2.y,CB-3-3.x,CB-3-3.y,CB-3-4.x,CB-3-4.y,CB-3-5.x,CB-3-5.y,CB-3-6.x,CB-3-6.y,CB-3-7.x,CB-3-7.y,CB-3-8.x,CB-3-8.y,CB-4-0.x,CB-4-0.y,CB-4-1.x,CB-4-1.y,CB-4-2.x,CB-4-2.y,CB-4-3.x,CB-4-3.y,CB-4-4.x,CB-4-4.y,CB-4-5.x,CB-4-5.y,CB-4-6.x,CB-4-6.y,CB-4-7.x,CB-4-7.y,CB-4-8.x,CB-4-8.y,CB-5-0.x,CB-5-0.y,CB-5-1.x,CB-5-1.y,CB-5-2.x,CB-5-2.y,CB-5-3.x,CB-5-3.y,CB-5-4.x,CB-5-4.y,CB-5-5.x,CB-5-5.y,CB-5-6.x,CB-5-6.y,CB-5-7.x,CB-5-7.y,CB-5-8.x,CB-5-8.y
image_000.png,329.756,288.961,375.080,291.054,419.427,293.481,462.728,296.282,504.996,299.298,545.754,302.503,585.214,305.883,623.240,309.437,659.757,313.096,327.852,335.899,373.484,337.441,418.323,339.297,461.728,341.361,504.463,343.612,545.503,346.179,585.241,348.747,623.501,351.492,660.007,354.336,326.406,383.707,372.336,384.597,417.290,385.791,461.145,387.318,503.753,388.721,545.244,390.485,585.323,392.355,623.500,394.260,660.241,396.197,325.512,432.246,371.560,432.489,416.499,433.194,460.724,433.668,503.500,434.485,544.746,435.387,584.763,436.379,623.495,437.395,660.254,438.390,324.759,481.241,371.008,480.759,416.230,480.440,460.500,480.500,503.182,480.491,544.759,480.500,584.759,480.500,623.241,480.759,660.255,480.689,324.745,530.298,370.748,529.347,416.234,528.421,460.135,527.503,503.243,526.543,544.765,525.731,584.765,525.096,623.227,524.343,660.240,523.523
image_001.png,285.758,98.830,337.539,96.193,389.757,94.505,442.527,94.243,495.211,94.575,547.350,96.335,598.604,98.886,648.754,102.358,697.604,106.565,286.277,151.303,337.236,148.824,389.248,147.482,441.281,146.750,493.262,147.453,544.647,148.608,595.360,150.649,644.964,153.486,693.307,156.929,287.351,203.607,337.775,201.427,388.743,200.224,440.383,199.503,491.559,199.663,542.348,200.563,592.358,202.126,641.187,204.266,688.688,206.864,289.201,255.220,338.993,253.309,389.400,251.758,439.759,251.241,490.331,251.236,540.226,251.485,589.331,252.602,637.392,254.126,684.300,256.074,291.630,305.581,340.672,303.684,390.265,302.479,439.759,301.546,489.228,301.221,538.210,301.549,586.367,301.690,633.603,302.673,679.697,303.938,294.766,354.532,342.816,352.825,391.378,351.525,439.928,350.449,488.521,349.698,536.411,349.435,583.623,349.711,629.958,350.098,675.249,350.556
image_002.png,479.816,388.773,554.058,367.438,625.331,347.569,693.034,329.443,756.668,313.045,816.317,298.253,871.261,285.157,921.632,273.614,968.093,263.558,494.598,459.273,565.367,437.409,633.412,416.745,698.293,397.539,759.514,379.678,816.766,363.413,870.317,348.453,919.538,334.970,965.038,322.773,508.365,523.771,575.727,501.815,640.682,480.714,702.800,460.721,761.591,441.964,817.157,424.336,868.629,407.975,916.629,392.973,961.141,379.179,521.245,582.731,585.388,560.779,647.430,539.526,706.783,519.088,763.382,499.531,816.471,481.153,866.539,463.717,913.296,447.461,956.632,432.340,533.058,636.430,594.222,614.641,653.417,593.340,710.276,572.632,764.495,552.674,815.746,533.678,864.141,515.536,909.416,498.467,951.653,482.360,543.994,685.218,602.290,663.659,658.713,642.552,713.219,621.792,765.112,601.741,814.661,582.355,861.369,563.677,905.393,545.946,946.515,529.118
image_003.png,245.401,469.623,293.748,465.135,340.323,460.963,384.252,457.346,425.749,453.891,465.317,450.816,502.229,448.079,537.134,445.496,569.965,443.217,247.158,523.201,294.991,517.225,340.735,511.596,384.454,506.407,425.488,501.565,464.651,497.034,501.530,492.762,536.219,488.907,568.678,485.332,249.432,575.558,296.647,568.285,341.943,561.296,384.865,554.636,425.771,548.386,464.500,542.481,500.729,536.902,535.363,531.646,567.587,526.739,252.387,626.607,298.826,618.033,343.427,609.719,385.879,601.756,426.153,594.297,464.513,587.013,500.501,580.220,534.453,573.696,566.601,567.577,255.800,676.172,301.563,666.382,345.365,656.809,387.158,647.669,426.699,638.997,464.493,630.533,500.245,622.501,533.687,614.868,565.599,607.582,259.756,723.809,304.521,713.112,347.551,702.486,388.582,692.258,427.694,682.363,464.758,672.864,500.222,663.680,533.388,654.988,564.646,646.697
image_004.png,184.344,125.768,255.347,126.967,320.462,130.311,379.382,134.673,432.394,139.861,479.992,145.363,522.640,150.803,560.951,156.349,595.415,161.565,180.611,210.736,252.068,207.898,317.372,207.237,376.194,207.463,429.153,208.576,476.523,210.324,519.112,212.363,557.362,214.580,591.719,216.832,180.240,296.821,251.245,289.506,315.565,284.175,374.045,280.264,426.515,277.360,473.572,275.309,515.877,273.714,554.028,272.754,588.256,272.185,182.285,381.858,251.837,370.080,315.506,360.295,372.683,352.111,424.601,345.297,471.267,339.472,513.091,334.614,550.651,330.475,584.689,326.909,186.596,464.270,254.507,448.245,316.481,434.310,372.613,422.212,423.540,411.558,469.315,402.328,510.500,394.266,547.659,387.120,581.398,380.741,192.643,542.733,258.382,523.032,318.465,505.450,373.114,489.723,422.741,475.715,467.588,463.373,508.285,452.236,544.899,442.340,578.312,433.395
image_005.png,326.614,264.537,368.461,258.615,413.599,252.751,462.580,247.086,515.457,241.490,572.008,236.356,632.498,231.541,696.501,227.528,764.246,224.375,325.265,320.434,367.192,316.618,412.502,312.778,461.546,309.208,514.391,305.720,571.264,302.654,631.758,300.039,696.451,297.894,764.236,296.483,324.501,377.202,366.165,375.386,411.463,373.630,460.598,372.385,513.441,371.192,570.514,370.174,631.241,369.759,695.676,369.812,763.828,370.167,324.150,434.261,366.241,434.500,411.172,435.086,460.232,435.753,513.319,436.855,569.842,438.357,630.380,439.971,694.665,442.016,762.522,444.510,324.849,490.915,366.562,493.471,411.500,496.232,460.242,499.188,512.765,502.404,569.242,505.997,629.522,509.835,693.421,514.068,760.640,518.526,325.836,547.454,367.403,551.924,412.176,556.703,460.602,561.761,512.763,567.218,568.870,572.912,628.513,578.851,691.628,585.064,758.442,591.461
image_006.png,362.646,174.442,420.920,167.769,479.685,162.349,538.457,157.793,596.755,154.480,654.036,152.324,709.886,150.852,764.022,150.760,816.145,151.422,370.411,229.043,426.821,222.807,483.687,217.504,540.504,212.993,596.759,209.345,652.352,206.502,706.444,204.627,758.974,203.558,809.660,203.228,378.302,280.892,432.768,275.084,487.695,269.801,542.522,265.303,596.756,261.417,650.489,258.266,702.827,255.600,753.870,253.617,803.211,252.483,385.976,329.695,438.670,324.251,491.650,319.160,544.529,314.553,597.244,310.470,648.674,306.910,699.462,303.850,748.757,301.400,796.611,299.379,393.596,375.621,444.503,370.323,495.608,365.353,546.495,360.669,597.246,356.498,647.094,352.653,696.021,349.288,743.728,346.322,790.233,343.597,400.992,418.485,450.123,413.407,499.339,408.503,548.500,403.896,597.235,399.617,645.446,395.562,692.666,391.797,738.909,388.438,783.864,385.318
image_007.png,435.450,204.196,482.950,198.314,529.384,193.116,574.262,188.672,617.502,184.968,659.233,181.887,698.769,179.410,736.843,177.498,773.214,176.018,439.313,252.995,485.926,246.510,531.363,240.643,575.389,235.526,617.764,230.966,658.637,227.008,697.809,223.582,735.376,220.589,771.114,218.166,443.327,300.527,488.900,293.478,533.387,287.007,576.466,281.159,618.242,275.717,658.135,270.922,696.610,266.651,733.566,262.781,768.772,259.412,447.372,346.470,491.926,338.932,535.453,331.822,577.617,325.354,618.552,319.305,657.752,313.694,695.522,308.589,731.743,303.919,766.426,299.635,451.486,390.636,495.044,382.637,537.479,375.146,578.599,368.011,618.484,361.357,657.272,355.077,694.364,349.290,729.769,343.796,763.916,338.726,455.631,433.075,498.141,424.602,539.525,416.599,579.730,409.001,618.749,401.726,656.450,394.901,692.862,388.485,727.779,382.411,761.357,376.686
image_008.png,461.493,353.348,506.232,352.290,551.748,351.360,597.831,350.753,643.693,350.510,690.164,350.514,736.550,350.611,782.274,351.252,827.217,352.248,461.603,400.607,506.498,399.746,551.726,399.138,597.759,398.759,644.241,398.500,690.500,398.500,736.834,398.736,782.510,399.283,827.551,399.881,462.007,448.241,506.793,447.608,552.221,447.270,598.241,447.241,644.559,446.746,690.496,447.280,736.759,447.241,782.500,447.500,827.624,447.999,462.434,495.459,507.224,495.501,552.500,495.500,598.477,495.240,644.497,495.513,690.500,495.500,736.452,495.492,782.160,495.736,827.322,496.147,463.343,542.774,507.830,543.253,552.689,543.255,598.515,543.149,644.500,543.500,690.500,543.500,736.194,543.485,781.752,543.778,826.511,543.756,464.314,589.529,508.495,590.324,553.531,590.495,598.759,590.759,644.488,591.311,690.241,591.241,735.702,591.255,780.814,591.231,825.545,591.241
image_009.png,427.857,491.548,478.596,480.878,527.588,470.746,574.661,461.256,619.758,452.185,662.746,443.620,703.821,435.552,742.764,428.056,779.639,420.992,433.562,541.353,482.885,530.065,530.615,519.266,576.504,508.813,620.591,498.893,662.762,489.462,703.000,480.499,741.263,472.037,777.382,464.063,439.212,588.577,487.112,576.742,533.586,565.378,578.428,554.282,621.516,543.630,662.447,533.520,701.966,523.706,739.462,514.362,774.974,505.555,444.687,633.345,491.341,621.094,536.498,609.224,580.215,597.562,622.316,586.290,662.496,575.449,700.783,565.025,737.552,554.949,772.493,545.394,450.217,675.548,495.444,663.030,539.349,650.683,581.747,638.615,622.753,626.846,662.211,615.473,699.621,604.465,735.590,593.777,769.844,583.543,455.544,715.383,499.420,702.584,542.181,689.931,583.481,677.561,623.370,665.458,661.586,653.578,698.433,642.100,733.646,630.847,767.300,620.128
